SourceURL,SourceLeaning,TargetURL,TargetLeaning
home.earthlink.net/~kevin.omeara,Left,thecommonvirtue.com,Right
home.earthlink.net/~kevin.omeara,Left,oliverwillis.com,Left
home.earthlink.net/~kevin.omeara,Left,instapundit.com,Right
conservativecat.com,Right,wizbangblog.com,Right
conservativecat.com,Right,coxandforkum.com,Right
conservativecat.com,Right,imao.us,Right
conservativecat.com,Right,scrappleface.com,Right
conservativecat.com,Right,legendgames.net/myblog.asp,Right
conservativecat.com,Right,gcruse.typepad.com,Right
conservativecat.com,Right,drudgereport.com,Right
conservativecat.com,Right,gevkaffeegal.typepad.com/the_alliance,Right
conservativecat.com,Right,nickiegoomba.blogspot.com,Right
conservativecat.com,Right,jewishworldreview.com,Right
conservativecat.com,Right,realclearpolitics.com,Right
conservativecat.com,Right,truthlaidbear.com,Right
conservativecat.com,Right,homespunbloggers.blogspot.com,Right
conservativeblogger.com,Right,blogsforbush.com,Right
conservativeblogger.com,Right,gopbloggers.org,Right
evilpundit.com,Right,timblair.net,Right
evilpundit.com,Right,diplomadic.blogspot.com,Right
evilpundit.com,Right,chrenkoff.blogspot.com,Right
evilpundit.com,Right,wizbangblog.com,Right
evilpundit.com,Right,dissectleft.blogspot.com,Right
evilpundit.com,Right,rightwingnews.com,Right
evilpundit.com,Right,asmallvictory.net,Right
evilpundit.com,Right,truthlaidbear.com,Right
evilpundit.com,Right,littlegreenfootballs.com/weblog,Right
evilpundit.com,Right,instapundit.com,Right
evilpundit.com,Right,belmontclub.blogspot.com,Right
evilpundit.com,Right,windsofchange.net,Right
evilpundit.com,Right,etalkinghead.com,Right
evilpundit.com,Right,punditz.journalspace.com,Right
my2cent.blogspot.com,Right,drudgereport.com,Right
my2cent.blogspot.com,Right,anncoulter.org,Right
my2cent.blogspot.com,Right,blindmindseye.com,Right
my2cent.blogspot.com,Right,thepatriette.com,Right
my2cent.blogspot.com,Right,bobhayes.net,Right
my2cent.blogspot.com,Right,truthlaidbear.com,Right
turnpikefeminist.com,Left,livejournal.com/users/jmhm,Left
turnpikefeminist.com,Left,pinkofeministhellcat.typepad.com/pinko_feminist_hellcat,Left
turnpikefeminist.com,Left,bodyandsoul.typepad.com,Left
turnpikefeminist.com,Left,oliverwillis.com,Left
economicswithaface.com/weblog,Right,janegalt.net,Right
economicswithaface.com/weblog,Right,j-bradford-delong.net/movable_type,Left
economicswithaface.com/weblog,Right,yglesias.typepad.com/matthew,Left
economicswithaface.com/weblog,Right,coxandforkum.com,Right
economicswithaface.com/weblog,Right,danieldrezner.com/blog,Right
economicswithaface.com/weblog,Right,bobhayes.net,Right
economicswithaface.com/weblog,Right,cmillertime.blogspot.com,Right
economicswithaface.com/weblog,Right,neonbrainiac.nu/mt/blog,Right
economicswithaface.com/weblog,Right,professorbainbridge.com,Right
economicswithaface.com/weblog,Right,qando.net,Left
economicswithaface.com/weblog,Right,southernappeal.blogspot.com,Right
economicswithaface.com/weblog,Right,buzzmachine.com,Left
pejmanesque.com,Right,captainsquartersblog.com/mt,Right
pejmanesque.com,Right,althouse.blogspot.com,Right
pejmanesque.com,Right,powerlineblog.com,Right
pejmanesque.com,Right,juancole.com,Left
pejmanesque.com,Right,volokh.com,Right
pejmanesque.com,Right,redstate.org,Right
pejmanesque.com,Right,timblair.net,Right
pejmanesque.com,Right,windsofchange.net,Right
pejmanesque.com,Right,samizdata.net/blog,Right
pejmanesque.com,Right,andrewsullivan.com,Right
pejmanesque.com,Right,marksteyn.com,Right
pejmanesque.com,Right,instapundit.com,Right
pejmanesque.com,Right,oxblog.blogspot.com,Left
pejmanesque.com,Right,drudgereport.com,Right
pejmanesque.com,Right,realclearpolitics.com,Right
pejmanesque.com,Right,janegalt.net,Right
pejmanesque.com,Right,professorbainbridge.com,Right
pejmanesque.com,Right,denbeste.nu,Right
pejmanesque.com,Right,nationalreview.com/thecorner,Right
pejmanesque.com,Right,danieldrezner.com/blog,Right
pejmanesque.com,Right,dynamist.com/weblog,Right
pejmanesque.com,Right,scrappleface.com,Right
pejmanesque.com,Right,vodkapundit.com,Right
pejmanesque.com,Right,chrenkoff.blogspot.com,Right
pejmanesque.com,Right,dailypundit.com,Right
pejmanesque.com,Right,hughhewitt.com,Right
pejmanesque.com,Right,kausfiles.com,Right
pejmanesque.com,Right,littlegreenfootballs.com/weblog,Right
pejmanesque.com,Right,sgtstryker.com,Right
pejmanesque.com,Right,michaeltotten.com,Right
pejmanesque.com,Right,nicedoggie.net,Right
pejmanesque.com,Right,townhall.com/clog,Right
pejmanesque.com,Right,billhobbs.com,Right
pejmanesque.com,Right,thatliberalmedia.com,Right
pejmanesque.com,Right,patterico.com,Right
pejmanesque.com,Right,therightcoast.blogspot.com,Right
pejmanesque.com,Right,thespoonsexperience.com,Right
pejmanesque.com,Right,balloon-juice.com,Right
pejmanesque.com,Right,yglesias.typepad.com/matthew,Left
pejmanesque.com,Right,deanesmay.com,Right
pejmanesque.com,Right,greatestjeneration.com,Right
pejmanesque.com,Right,patrickruffini.com,Right
pejmanesque.com,Right,truthlaidbear.com,Right
pejmanesque.com,Right,washingtonmonthly.com,Left
pejmanesque.com,Right,crookedtimber.org,Left
pejmanesque.com,Right,buzzmachine.com,Left
pejmanesque.com,Right,outsidethebeltway.com,Right
pejmanesque.com,Right,tagorda.com,Right
pejmanesque.com,Right,rightwingnews.com,Right
pejmanesque.com,Right,vikingpundit.blogspot.com,Right
pejmanesque.com,Right,cdharris.net,Right
pejmanesque.com,Right,qando.net,Left
pejmanesque.com,Right,horologium.net,Right
pejmanesque.com,Right,talkingpointsmemo.com,Left
gaypatriot.blogspot.com,Right,polipundit.com,Right
