Id,Degree,Url,Leaning
155,338,dailykos.com,Left
1051,277,instapundit.com,Right
641,269,talkingpointsmemo.com,Left
55,264,atrios.blogspot.com,Left
963,240,drudgereport.com,Right
1245,221,powerlineblog.com,Right
855,212,blogsforbush.com,Right
729,201,washingtonmonthly.com,Left
1153,201,michellemalkin.com,Right
1437,187,truthlaidbear.com,Right
1112,181,littlegreenfootballs.com/weblog,Right
323,165,juancole.com,Left
1041,157,hughhewitt.com,Right
798,145,andrewsullivan.com,Right
642,141,talkleft.com,Left
1479,139,wizbangblog.com,Right
1179,136,nationalreview.com/thecorner,Right
756,128,yglesias.typepad.com/matthew,Left
493,123,pandagon.net,Left
878,122,captainsquartersblog.com/mt,Right
1306,120,rightwingnews.com,Right
180,118,digbysblog.blogspot.com,Left
483,117,oliverwillis.com,Left
1270,117,realclearpolitics.com,Right
434,115,mydd.com,Left
535,113,prospect.org/weblog,Left
741,113,wonkette.com,Left
1330,113,scrappleface.com,Right
297,109,j-bradford-delong.net/movable_type,Left
1463,107,volokh.com,Right
1101,106,lashawnbarber.com,Right
1461,106,vodkapundit.com,Right
687,104,thismodernworld.com,Left
514,103,politicalwire.com,Left
1000,102,gevkaffeegal.typepad.com/the_alliance,Right
189,101,dneiwert.blogspot.com,Left
363,101,liberaloasis.com,Left
150,100,crookedtimber.org,Left
547,96,reachm.com/amstreet,Left
826,96,belmontclub.blogspot.com,Right
1209,95,outsidethebeltway.com,Right
170,91,democraticunderground.com,Left
644,88,tbogg.blogspot.com,Left
405,87,maxspeak.org/mt,Left
941,87,deanesmay.com,Right
99,86,bodyandsoul.typepad.com,Left
919,84,coxandforkum.com,Right
664,82,theleftcoaster.com,Left
996,82,georgewbush.com,Right
154,81,dailyhowler.com,Left
990,81,freerepublic.com,Right
1478,81,windsofchange.net,Right
301,80,jameswolcott.com,Left
1317,80,rogerlsimon.com,Right
1045,78,imao.us,Right
72,77,billmon.org,Left
563,76,rittenhouse.blogspot.com,Left
810,76,asmallvictory.net,Right
1055,76,iraqthemodel.blogspot.com,Right
1232,76,polipundit.com,Right
119,75,buzzmachine.com,Left
591,75,seetheforest.blogspot.com,Left
726,75,wampum.wabanaki.net,Left
979,75,etalkinghead.com,Right
754,73,xnerg.blogspot.com,Left
144,72,corrente.blogspot.com,Left
564,72,riverbendblog.blogspot.com,Left
210,70,emergingdemocraticmajorityweblog.com/donkeyrising,Left
762,70,ace.mu.nu,Right
23,69,americablog.blogspot.com,Left
495,69,patriotboy.blogspot.com,Left
1008,69,gopbloggers.org,Right
490,67,oxblog.blogspot.com,Left
172,66,democrats.org/blog,Left
570,66,rogerailes.blogspot.com,Left
885,66,celluloid-wisdom.com/pw,Right
1048,66,indcjournal.com,Right
1191,66,nicedoggie.net,Right
936,65,danieldrezner.com/blog,Right
1277,65,redstate.org,Right
623,64,stevegilliard.blogspot.com,Left
1164,64,mudvillegazette.com,Right
102,63,bopnews.com,Left
539,62,qando.net,Left
669,62,thepoorman.net,Left
892,62,chrenkoff.blogspot.com,Right
441,61,nathannewman.org/log,Left
634,61,suburbanguerrilla.blogspot.com,Left
1223,60,pejmanesque.com,Right
394,59,markarkleiman.com,Left
650,59,the-hamster.com,Left
