Id,Degree,Url,Leaning
855,256,blogsforbush.com,Right
454,140,newleftblogs.blogspot.com,Left
387,131,madkane.com/notable.html,Left
512,131,politicalstrategy.org,Left
880,123,cayankee.blogs.com,Right
363,115,liberaloasis.com,Left
1101,113,lashawnbarber.com,Right
1000,110,gevkaffeegal.typepad.com/the_alliance,Right
524,109,presidentboxer.blogspot.com,Left
144,106,corrente.blogspot.com,Left
1384,103,techievampire.net/wppol,Right
99,96,bodyandsoul.typepad.com,Left
935,96,dalythoughts.com,Right
618,94,stagefour.typepad.com/commonprejudice,Left
202,91,elayneriggs.blogspot.com,Left
980,91,evangelicaloutpost.com,Right
1047,90,incite1.blogspot.com,Right
40,88,anoldsoul.blogspot.com,Left
56,88,atrios.blogspot.com/ ,Left
55,87,atrios.blogspot.com,Left
900,87,commonsenserunswild.typepad.com,Right
1051,86,instapundit.com,Right
1135,86,martinipundit.com,Right
856,84,blogsofwar.com,Right
568,83,robschumacher.blogspot.com,Left
492,82,pacificviews.org,Left
644,82,tbogg.blogspot.com,Left
1479,81,wizbangblog.com,Right
118,80,busybusybusy.com,Left
604,80,simbaud.blogspot.com,Left
1185,79,nerepublican.blogspot.com,Right
75,74,blog.dccc.org,Left
765,74,acertainslantoflight.blogspot.com,Right
72,73,billmon.org,Left
417,73,michaelberube.com,Left
1246,73,powerpundit.com,Right
615,72,southknoxbubba.net/skblog,Left
762,72,ace.mu.nu,Right
180,71,digbysblog.blogspot.com,Left
612,71,snunes.blogspot.com,Left
468,70,norbizness.com,Left
781,70,alphapatriot.com,Right
953,70,discerningtexan.blogspot.com,Right
956,70,dissectleft.blogspot.com,Right
754,69,xnerg.blogspot.com,Left
775,69,aldaynet.org,Right
1329,69,scha-den-freu-de.blogspot.com,Right
1427,69,thomasgalvin.blogspot.com,Right
1041,68,hughhewitt.com,Right
191,67,dohiyimir.typepad.com,Left
1131,67,markheimonen.blogspot.com,Right
460,66,nielsenhayden.com/electrolite,Left
1177,66,nationalcenter.org/blog.html,Right
1461,66,vodkapundit.com,Right
469,63,noseyonline.com,Left
14,62,aintnobaddude.com,Left
101,62,boloboffin.blogspot.com,Left
189,62,dneiwert.blogspot.com,Left
676,62,thetalkingdog.com,Left
699,62,toteota.blogspot.com,Left
1191,62,nicedoggie.net,Right
574,61,roxanne.typepad.com,Left
773,61,alarmingnews.com,Right
1108,60,legendgames.net/myblog.asp,Right
1408,60,thepatriette.com,Right
585,59,scoobiedavis.blogspot.com,Left
1209,59,outsidethebeltway.com,Right
1231,59,poliblogger.com,Right
1215,58,pardonmyenglish.com,Right
224,57,folkbum.blogspot.com,Left
288,57,interestingtimes.blogspot.com,Left
892,57,chrenkoff.blogspot.com,Right
219,56,fairshot.org,Left
675,56,thetalentshow.org,Left
1410,56,thepoliticalanimal.com,Right
477,55,obsidianwings.blogs.com,Left
729,55,washingtonmonthly.com,Left
1236,55,politicalmusings.net,Right
15,54,ajbenjaminjr.blogspot.com,Left
467,54,nomoremister.blogspot.com,Left
824,54,beldar.blogs.com/beldarblog,Right
966,54,dummocrats.com,Right
1223,54,pejmanesque.com,Right
46,53,archpundit.com,Left
818,53,balloon-juice.com,Right
927,53,cynicalnation.com,Right
1187,53,newcounterculture.com/log,Right
851,52,blogicus.com,Right
238,51,gisleson.com/blog,Left
570,51,rogerailes.blogspot.com,Left
259,50,higherpieproductions.com,Left
278,50,iddybud.blogspot.com,Left
566,50,roadtosurfdom.com,Left
664,50,theleftcoaster.com,Left
559,49,rhetoricrhythm.blogspot.com,Left
669,49,thepoorman.net,Left
816,49,babytrollblog.com,Right
1103,49,laughingwolf.net,Right
1459,49,vikingpundit.blogspot.com,Right
493,48,pandagon.net,Left
835,48,billhobbs.com,Right
1351,48,slowplay.com,Right
24,47,americablog.org,Left
150,47,crookedtimber.org,Left
489,47,ospolitics.org,Left
508,47,pinkofeministhellcat.typepad.com/pinko_feminist_hellcat,Left
981,47,everythingiknowiswrong.com,Right
155,46,dailykos.com,Left
241,46,goose3five.blogspot.com,Left
1439,46,truthprobe.blogspot.com,Right
434,45,mydd.com,Left
547,45,reachm.com/amstreet,Left
1325,45,samizdata.net/blog,Right
1482,45,writingcompany.blogs.com/this_isnt_writing_its_typ,Right
777,44,alittlemoretotheright.com,Right
1162,44,mtvirtus.blogspot.com,Right
1320,44,rosenblog.com,Right
2,43,12thharmonic.com/wordpress,Left
181,43,digestiblenews.blogspot.com,Left
347,43,leanleft.com,Left
561,43,rising-hegemon.blogspot.com,Left
852,43,blogodob.blogspot.com,Right
1048,43,indcjournal.com,Right
1054,43,iowageek.blogspot.com,Right
1125,43,made4theinternet.blogspot.com,Right
167,42,demagogue.blogspot.com,Left
377,42,loadedmouth.com,Left
726,42,wampum.wabanaki.net,Left
793,42,americanwarmonger.blogspot.com,Right
1172,42,mypetjawa.mu.nu,Right
264,41,home.earthlink.net/~fsrhine,Left
296,41,iwantmycountryback.org,Left
1037,41,homespunbloggers.blogspot.com,Right
1161,41,motgs.com,Right
1214,41,papadoc.net/pinkflamingobar.html,Right
1222,41,patterico.com,Right
1381,41,tagorda.com,Right
90,40,blogs.salon.com/0003364,Left
317,40,johnmccrory.com,Left
389,40,mahablog.com,Left
755,40,yarsrevenge.blogspot.com,Left
943,40,decision08.blogspot.com,Right
1063,40,janegalt.net,Right
1104,40,lawguy.blogspot.com,Right
1360,40,southernappeal.blogspot.com,Right
29,39,amleft.blogspot.com,Left
394,39,markarkleiman.com,Left
620,39,stcfoundation.blogspot.com,Left
886,39,celluloid-wisdom.com/pw/,Right
909,39,conservativelife.com/blog,Right
1200,39,ofthemind.blogspot.com,Right
21,38,althippo.blogspot.com,Left
177,38,dems2004.org/blog,Left
688,38,thomasblog.typepad.com/bloggg,Left
934,38,daisycutter.blogspot.com,Right
972,38,electionprojection.com,Right
82,37,blog01.kintera.com/dnccblog,Left
109,37,brilliantatbreakfast.blogspot.com,Left
119,37,buzzmachine.com,Left
326,37,juliusblog.blogspot.com,Left
1152,37,michaeltotten.com,Right
31,36,amptoons.com/blog,Left
172,36,democrats.org/blog,Left
223,36,flagrancy.net,Left
257,36,hereswhatsleft.typepad.com/home,Left
399,36,maruthecrankpot.blogspot.com,Left
410,36,mediajunkie.com/edgewise,Left
431,36,msnbc.msn.com/id/3449870,Left
140,35,collegedems.com/blog,Left
229,35,fromtheroots.org,Left
256,35,hereswhatsleft.typepad.com,Left
560,35,righthandthief.blogspot.com,Left
631,35,strangedoctrines.typepad.com,Left
1328,35,sayanythingblog.com,Right
218,34,fafblog.blogspot.com,Left
495,34,patriotboy.blogspot.com,Left
778,34,all-encompassingly.com,Right
1317,34,rogerlsimon.com,Right
1352,34,slublog.blogspot.com,Right
479,33,oddhours.blogspot.com,Left
536,33,pudentilla.blogspot.com,Left
556,33,retrogrouch.net,Left
807,33,apologiesdemanded.blogspot.com,Right
922,33,crankyneocon.com/crankyneocon,Right
1061,33,itznewstome.blogspot.com,Right
1321,33,roseoftheknights.com/yank/pride.html,Right
1362,33,southernwatch.blogspot.com,Right
1430,33,timblair.spleenville.com,Right
472,32,notgeniuses.com,Left
535,32,prospect.org/weblog,Left
647,32,thatcoloredfellasweblog.bloghorn.com,Left
1163,32,mudandphud.blogspot.com,Right
1195,32,nomayo.mu.nu,Right
1411,32,thepoliticalteen.net,Right
1429,32,timblair.net,Right
100,31,boffo.typepad.com,Left
187,31,discourse.net,Left
515,31,politics.feedster.com,Left
919,31,coxandforkum.com,Right
1364,31,spreadingunderstanding.blogspot.com,Right
137,30,claudialong.com/blog,Left
484,30,one38.org,Left
501,30,permanentred.com,Left
737,30,whyareweback.blogspot.com,Left
787,30,americandinosaur.blogspot.com,Right
788,30,americanfuture.typepad.com,Right
907,30,conservativedialysis.com,Right
1150,30,mhking.mu.nu,Right
1192,30,nickiegoomba.blogspot.com,Right
1217,30,patrickruffini.com,Right
1296,30,rightonred.net,Right
1313,30,robbernard.com,Right
1374,30,strategicintelligence.blogspot.com,Right
1414,30,therightwingconspiracy.org,Right
18,29,allspinzone.blogspot.com,Left
23,29,americablog.blogspot.com,Left
115,29,burntorangereport.com,Left
